Time (s),Red,IR
4.980,31277.0,112288.0
4.990,31290.0,112339.0
5.000,31330.0,112369.0
5.010,31318.0,112374.0
5.020,31328.0,112366.0
5.030,31320.0,112369.0
5.040,31321.0,112396.0
5.050,31336.0,112458.0
5.060,31327.0,112508.0
5.070,31354.0,112554.0
5.080,31359.0,112610.0
5.090,31346.0,112507.0
5.100,31316.0,112251.0
5.110,31284.0,112089.0
5.120,31279.0,112075.0
5.130,31290.0,112117.0
5.140,31289.0,112148.0
5.150,31290.0,112181.0
5.160,31292.0,112179.0
5.170,31285.0,112139.0
5.180,31276.0,112125.0
5.190,31288.0,112173.0
5.200,31295.0,112208.0
5.210,31294.0,112236.0
5.220,31305.0,112277.0
5.230,31318.0,112312.0
5.240,31330.0,112336.0
5.250,31330.0,112134.0
5.260,31301.0,111900.0
5.270,31281.0,111810.0
5.280,31270.0,111830.0
5.290,31263.0,111855.0
5.300,31270.0,111905.0
5.310,31268.0,111942.0
5.320,31254.0,111927.0
5.330,31255.0,111897.0
5.340,31257.0,111931.0
5.350,31245.0,111950.0
5.360,31264.0,111997.0
5.370,31284.0,112044.0
5.380,31284.0,112109.0
5.390,31292.0,112158.0
5.400,31287.0,112150.0
5.410,31264.0,111936.0
5.420,31234.0,111736.0
5.430,31230.0,111704.0
5.440,31220.0,111740.0
5.450,31217.0,111781.0
5.460,31212.0,111838.0
5.470,31222.0,111865.0
5.480,31228.0,111869.0
5.490,31247.0,111855.0
5.500,31263.0,111893.0
5.510,31260.0,111964.0
5.520,31272.0,112032.0
5.530,31270.0,112081.0
5.540,31283.0,112157.0
5.550,31292.0,112238.0
5.560,31298.0,112207.0
5.570,31283.0,112008.0
5.580,31256.0,111893.0
5.590,31238.0,111917.0
5.600,31255.0,111976.0
5.610,31262.0,112035.0
5.620,31284.0,112105.0
5.630,31283.0,112157.0
5.640,31278.0,112155.0
5.650,31287.0,112173.0
5.660,31282.0,112209.0
5.670,31289.0,112261.0
5.680,31299.0,112325.0
5.690,31310.0,112381.0
5.700,31328.0,112437.0
5.710,31335.0,112492.0
5.720,31332.0,112422.0
5.730,31307.0,112237.0
5.740,31316.0,112200.0
5.750,31322.0,112262.0
5.760,31324.0,112348.0
5.770,31327.0,112428.0
5.780,31347.0,112482.0
5.790,31341.0,112496.0
5.800,31328.0,112495.0
5.810,31328.0,112525.0
5.820,31322.0,112572.0
5.830,31328.0,112637.0
5.840,31332.0,112709.0
5.850,31345.0,112796.0
5.860,31359.0,112875.0
5.870,31367.0,112910.0
5.880,31358.0,112761.0
5.890,31331.0,112708.0
5.900,31343.0,112779.0
5.910,31357.0,112882.0
5.920,31365.0,112938.0
5.930,31373.0,113008.0
5.940,31358.0,113024.0
5.950,31350.0,113017.0
5.960,31342.0,113027.0
5.970,31351.0,113044.0
5.980,31387.0,113097.0
5.990,31389.0,113151.0
6.000,31398.0,113204.0
6.010,31406.0,113261.0
6.020,31405.0,113250.0
6.030,31394.0,113096.0
6.040,31362.0,112972.0
6.050,31363.0,112990.0
6.060,31373.0,113045.0
6.070,31370.0,113083.0
6.080,31378.0,113136.0
6.090,31397.0,113165.0
6.100,31386.0,113147.0
6.110,31381.0,113142.0
6.120,31384.0,113164.0
6.130,31372.0,113205.0
6.140,31374.0,113238.0
6.150,31371.0,113277.0
6.160,31385.0,113322.0
6.170,31401.0,113358.0
6.180,31401.0,113271.0
6.190,31379.0,113081.0
6.200,31346.0,113002.0
6.210,31349.0,113047.0
6.220,31377.0,113112.0
6.230,31382.0,113153.0
6.240,31395.0,113216.0
6.250,31399.0,113209.0
6.260,31381.0,113203.0
6.270,31381.0,113223.0
6.280,31389.0,113248.0
6.290,31379.0,113298.0
6.300,31381.0,113334.0
6.310,31372.0,113387.0
6.320,31367.0,113436.0
6.330,31383.0,113429.0
6.340,31362.0,113270.0
6.350,31366.0,113146.0
6.360,31346.0,113166.0
6.370,31349.0,113227.0
6.380,31351.0,113301.0
6.390,31362.0,113339.0
6.400,31370.0,113369.0
6.410,31368.0,113369.0
6.420,31360.0,113359.0
6.430,31360.0,113380.0
6.440,31345.0,113431.0
6.450,31340.0,113488.0
6.460,31360.0,113504.0
6.470,31382.0,113554.0
6.480,31397.0,113615.0
6.490,31399.0,113549.0
6.500,31367.0,113377.0
6.510,31359.0,113314.0
6.520,31344.0,113377.0
6.530,31367.0,113440.0
6.540,31367.0,113508.0
6.550,31378.0,113543.0
6.560,31377.0,113552.0
6.570,31368.0,113529.0
6.580,31362.0,113515.0
6.590,31363.0,113554.0
6.600,31377.0,113592.0
6.610,31376.0,113629.0
6.620,31366.0,113670.0
6.630,31371.0,113696.0
6.640,31378.0,113669.0
6.650,31367.0,113479.0
6.660,31350.0,113387.0
6.670,31339.0,113416.0
6.680,31351.0,113467.0
6.690,31353.0,113511.0
6.700,31383.0,113549.0
6.710,31386.0,113556.0
6.720,31379.0,113527.0
6.730,31382.0,113514.0
6.740,31362.0,113532.0
6.750,31356.0,113569.0
6.760,31364.0,113593.0
6.770,31365.0,113631.0
6.780,31369.0,113662.0
6.790,31349.0,113632.0
6.800,31324.0,113401.0
6.810,31298.0,113254.0
6.820,31299.0,113244.0
6.830,31290.0,113295.0
6.840,31310.0,113322.0
6.850,31310.0,113349.0
6.860,31311.0,113337.0
6.870,31298.0,113309.0
6.880,31299.0,113271.0
6.890,31290.0,113270.0
6.900,31284.0,113285.0
6.910,31285.0,113308.0
6.920,31267.0,113338.0
6.930,31277.0,113376.0
6.940,31269.0,113377.0
6.950,31290.0,113185.0
6.960,31267.0,112975.0
6.970,31235.0,112914.0
6.980,31239.0,112915.0
6.990,31249.0,112943.0
7.000,31253.0,112957.0
7.010,31235.0,112972.0
7.020,31249.0,112930.0
7.030,31247.0,112904.0
7.040,31231.0,112893.0
7.050,31244.0,112894.0
7.060,31244.0,112943.0
7.070,31246.0,112944.0
7.080,31253.0,112990.0
7.090,31254.0,113029.0
7.100,31255.0,112935.0
7.110,31227.0,112705.0
